timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:18:12 UTC 202, 1, 14 %, 103 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:18:15 UTC 202, 7, 51 %, 211 W, 32454 MiB
Tue Aug  2 20:18:15 UTC 202, 1, 14 %, 103 W, 32454 MiB
Tue Aug  2 20:18:15 UTC 202, 0, 13 %, 99 W, 32454 MiB
Tue Aug  2 20:18:15 UTC 202, 3, 14 %, 103 W, 32454 MiB
Tue Aug  2 20:18:15 UTC 202, 4, 15 %, 104 W, 32454 MiB
Tue Aug  2 20:18:15 UTC 202, 6, 11 %, 94 W, 32454 MiB
Tue Aug  2 20:18:15 UTC 202, 5, 14 %, 101 W, 32454 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:18:17 UTC 202, 5, 14 %, 101 W, 32454 MiB
Tue Aug  2 20:18:17 UTC 202, 1, 14 %, 103 W, 32454 MiB
Tue Aug  2 20:18:17 UTC 202, 0, 13 %, 100 W, 32454 MiB
Tue Aug  2 20:18:17 UTC 202, 4, 15 %, 104 W, 32454 MiB
Tue Aug  2 20:18:17 UTC 202, 7, 50 %, 199 W, 32454 MiB
Tue Aug  2 20:18:17 UTC 202, 3, 15 %, 103 W, 32454 MiB
Tue Aug  2 20:18:17 UTC 202, 6, 11 %, 94 W, 32454 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:18:19 UTC 202, 7, 10 %, 91 W, 32454 MiB
Tue Aug  2 20:18:19 UTC 202, 6, 11 %, 94 W, 32454 MiB
Tue Aug  2 20:18:19 UTC 202, 0, 13 %, 99 W, 32454 MiB
Tue Aug  2 20:18:19 UTC 202, 4, 15 %, 104 W, 32454 MiB
Tue Aug  2 20:18:19 UTC 202, 5, 14 %, 101 W, 32454 MiB
Tue Aug  2 20:18:19 UTC 202, 1, 14 %, 103 W, 32454 MiB
Tue Aug  2 20:18:19 UTC 202, 3, 15 %, 103 W, 32454 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:18:21 UTC 202, 3, 14 %, 103 W, 32454 MiB
Tue Aug  2 20:18:21 UTC 202, 5, 14 %, 102 W, 32454 MiB
Tue Aug  2 20:18:21 UTC 202, 0, 13 %, 99 W, 32454 MiB
Tue Aug  2 20:18:21 UTC 202, 4, 15 %, 104 W, 32454 MiB
Tue Aug  2 20:18:21 UTC 202, 1, 15 %, 103 W, 32454 MiB
Tue Aug  2 20:18:21 UTC 202, 7, 10 %, 91 W, 32454 MiB
Tue Aug  2 20:18:21 UTC 202, 6, 11 %, 94 W, 32454 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:18:24 UTC 202, 5, 14 %, 101 W, 32454 MiB
Tue Aug  2 20:18:24 UTC 202, 6, 11 %, 94 W, 32454 MiB
Tue Aug  2 20:18:24 UTC 202, 4, 15 %, 104 W, 32454 MiB
Tue Aug  2 20:18:24 UTC 202, 0, 13 %, 99 W, 32454 MiB
Tue Aug  2 20:18:24 UTC 202, 1, 14 %, 103 W, 32454 MiB
Tue Aug  2 20:18:24 UTC 202, 3, 15 %, 103 W, 32454 MiB
Tue Aug  2 20:18:24 UTC 202, 7, 10 %, 91 W, 32454 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:18:26 UTC 202, 0, 13 %, 100 W, 512 MiB
Tue Aug  2 20:18:26 UTC 202, 4, 15 %, 104 W, 512 MiB
Tue Aug  2 20:18:26 UTC 202, 5, 14 %, 102 W, 512 MiB
Tue Aug  2 20:18:26 UTC 202, 7, 48 %, 91 W, 512 MiB
Tue Aug  2 20:18:26 UTC 202, 1, 14 %, 103 W, 512 MiB
Tue Aug  2 20:18:26 UTC 202, 3, 47 %, 163 W, 512 MiB
Tue Aug  2 20:18:26 UTC 202, 6, 11 %, 94 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:18:29 UTC 202, 7, 10 %, 91 W, 32454 MiB
Tue Aug  2 20:18:29 UTC 202, 4, 15 %, 104 W, 32454 MiB
Tue Aug  2 20:18:29 UTC 202, 0, 13 %, 99 W, 32454 MiB
Tue Aug  2 20:18:29 UTC 202, 1, 14 %, 103 W, 32454 MiB
Tue Aug  2 20:18:29 UTC 202, 6, 11 %, 94 W, 32454 MiB
Tue Aug  2 20:18:29 UTC 202, 3, 15 %, 104 W, 32454 MiB
Tue Aug  2 20:18:29 UTC 202, 5, 14 %, 102 W, 32454 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:18:32 UTC 202, 0, 13 %, 100 W, 512 MiB
Tue Aug  2 20:18:32 UTC 202, 3, 22 %, 109 W, 512 MiB
Tue Aug  2 20:18:32 UTC 202, 6, 11 %, 93 W, 512 MiB
Tue Aug  2 20:18:32 UTC 202, 5, 14 %, 101 W, 512 MiB
Tue Aug  2 20:18:32 UTC 202, 4, 15 %, 104 W, 512 MiB
Tue Aug  2 20:18:32 UTC 202, 1, 14 %, 103 W, 512 MiB
Tue Aug  2 20:18:32 UTC 202, 7, 50 %, 91 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:18:34 UTC 202, 6, 11 %, 94 W, 512 MiB
Tue Aug  2 20:18:34 UTC 202, 4, 15 %, 103 W, 512 MiB
Tue Aug  2 20:18:34 UTC 202, 5, 14 %, 102 W, 512 MiB
Tue Aug  2 20:18:34 UTC 202, 7, 10 %, 91 W, 512 MiB
Tue Aug  2 20:18:34 UTC 202, 1, 14 %, 103 W, 512 MiB
Tue Aug  2 20:18:34 UTC 202, 0, 13 %, 99 W, 512 MiB
Tue Aug  2 20:18:34 UTC 202, 3, 14 %, 217 W, 512 MiB
timestamp, module_id, utilization.aip [%], power.draw [W], memory.used [MiB]
Tue Aug  2 20:18:37 UTC 202, 5, 54 %, 221 W, 32454 MiB
Tue Aug  2 20:18:37 UTC 202, 3, 14 %, 103 W, 32454 MiB
Tue Aug  2 20:18:37 UTC 202, 4, 15 %, 103 W, 32454 MiB
Tue Aug  2 20:18:37 UTC 202, 6, 11 %, 93 W, 32454 MiB
